,id
0,BTRST-USD
1,APE-USD
2,ALGO-BTC
3,LQTY-USD
4,CGLD-GBP
5,NU-USD
6,MDT-USD
7,IDEX-USDT
8,ERN-EUR
9,USDC-GBP
10,PLA-USD
11,CRO-USD
12,UPI-USD
13,CGLD-BTC
14,GODS-USD
15,AIOZ-USD
16,BTRST-BTC
17,POLS-USD
18,DAI-USD
19,DIA-USDT
20,LQTY-USDT
21,WLUNA-GBP
22,SYN-USD
23,ENJ-USD
24,TRIBE-USD
25,ICP-USDT
26,PERP-EUR
27,REN-USD
28,WLUNA-USDT
29,FIDA-USDT
30,DAI-USDC
31,USDT-GBP
32,KRL-USD
33,ANKR-BTC
34,ETH-BTC
35,BCH-BTC
36,LCX-USDT
37,RLC-BTC
38,WLUNA-USD
39,LTC-USD
40,NMR-EUR
41,LTC-EUR
42,ENJ-USDT
43,BADGER-EUR
44,FIL-USD
45,ICP-BTC
46,SUKU-USDT
47,ORCA-USD
48,ADA-BTC
49,RLY-GBP
50,POWR-EUR
51,FARM-USD
52,NKN-GBP
53,1INCH-EUR
54,DESO-USD
55,AXS-EUR
56,UNI-USD
57,SHIB-USDT
58,CLV-USD
59,AGLD-USD
60,AERGO-USD
61,FORTH-EUR
62,STORJ-BTC
63,MASK-GBP
64,AVAX-EUR
65,BCH-USD
66,EOS-BTC
67,CHZ-USD
68,BAT-BTC
69,ZEN-BTC
70,ENJ-BTC
71,ETC-GBP
72,TRU-EUR
73,GLM-USD
74,RNDR-EUR
75,SOL-EUR
76,UST-USDT
77,QSP-USDT
78,AMP-USD
79,AVAX-USD
80,XLM-BTC
81,SUSHI-ETH
82,GRT-USD
83,IOTX-EUR
84,XLM-USD
85,GALA-EUR
86,NMR-BTC
87,CRO-USDT
88,ENS-EUR
89,WCFG-USDT
90,MCO2-USDT
91,MANA-USDC
92,AVAX-USDT
93,LOOM-USD
94,WCFG-EUR
95,ATOM-BTC
96,ORN-USDT
97,PERP-USDT
98,SUSHI-EUR
99,ATOM-GBP
100,ALGO-GBP
101,IDEX-USD
102,SNX-BTC
103,ORN-BTC
104,DOT-USDT
105,BAT-ETH
106,MANA-BTC
107,GRT-BTC
108,MANA-USD
109,POWR-USD
110,YFI-USD
111,FIDA-USD
112,CHZ-EUR
113,OMG-EUR
114,SKL-GBP
115,SHIB-GBP
116,BAND-GBP
117,XTZ-GBP
118,ADA-USDT
119,LPT-USD
120,SHPING-USD
121,PAX-USDT
122,BADGER-USD
123,ZRX-EUR
124,REQ-EUR
125,LTC-BTC
126,DOGE-USDT
127,REP-USD
128,ETC-BTC
129,LCX-EUR
130,DASH-USD
131,DOGE-BTC
132,ZEC-BTC
133,REN-BTC
134,LINK-USD
135,AIOZ-USDT
136,FIDA-EUR
137,MATIC-EUR
138,GFI-USD
139,BNT-EUR
140,TRAC-USD
141,LTC-GBP
142,AAVE-GBP
143,CTX-EUR
144,AAVE-BTC
145,CLV-GBP
146,CVC-USDC
147,1INCH-USD
148,POLY-USDT
149,ATOM-USDT
150,SHPING-EUR
151,ADA-GBP
152,ICP-USD
153,DOT-USD
154,BAND-USD
155,LINK-BTC
156,CTSI-USD
157,ETC-USD
158,ETH-GBP
159,FIL-BTC
160,OMG-USD
161,USDT-USD
162,SUPER-USD
163,TRAC-EUR
164,NCT-EUR
165,ASM-USDT
166,BCH-GBP
167,AUCTION-EUR
168,COMP-USD
169,ACH-USD
170,CLV-EUR
171,BICO-EUR
172,BCH-EUR
173,CRV-USD
174,RAD-USDT
175,LRC-USDT
176,SKL-BTC
177,OXT-USD
178,SUSHI-GBP
179,SPELL-USD
180,SKL-USD
181,ERN-USD
182,CRV-BTC
183,TRAC-USDT
184,RAI-USD
185,ANKR-USD
186,QNT-USDT
187,UMA-USD
188,BAND-EUR
189,KNC-USD
190,COTI-USD
191,UNI-BTC
192,DIA-USD
193,ADA-USDC
194,FORTH-GBP
195,OGN-USD
196,FARM-USDT
197,MANA-ETH
198,OGN-BTC
199,ALGO-USD
200,UPI-USDT
201,BTRST-EUR
202,BTC-UST
203,MATIC-USDT
204,DOT-GBP
205,SKL-EUR
