,id,base_currency,quote_currency,base_min_size,base_max_size,quote_increment,base_increment,display_name,min_market_funds,max_market_funds,margin_enabled,fx_stablecoin,max_slippage_percentage,post_only,limit_only,cancel_only,trading_disabled,status,status_message,auction_mode
0,BTRST-USD,BTRST,USD,0.17,83000,0.001,0.01,BTRST/USD,1,220000,False,False,0.03000000,False,False,False,False,online,,False
1,APE-USD,APE,USD,0.05,63000,0.001,0.01,APE/USD,1,250000,False,False,0.03000000,False,False,False,False,online,,False
2,ALGO-BTC,ALGO,BTC,1,600000,1E-8,1,ALGO/BTC,0.000016,19,False,False,0.03000000,False,False,False,False,online,,False
3,LQTY-USD,LQTY,USD,0.1,42000,0.01,0.01,LQTY/USD,1,230000,False,False,0.03000000,False,False,False,False,online,,False
4,CGLD-GBP,CGLD,GBP,0.16,65000,0.001,0.01,CGLD/GBP,0.72,220000,False,False,0.03000000,False,False,False,False,online,,False
5,NU-USD,NU,USD,1.1,870000,0.0001,0.000001,NU/USD,1,530000,False,False,0.03000000,False,False,False,False,online,,False
6,MDT-USD,MDT,USD,10,6800000,0.00001,1,MDT/USD,1,550000,False,False,0.03000000,False,False,False,False,online,,False
7,IDEX-USDT,IDEX,USDT,1,1100000,0.0001,0.1,IDEX/USDT,1,200000,False,False,0.03000000,False,False,False,False,online,,False
8,ERN-EUR,ERN,EUR,0.01,19000,0.01,0.001,ERN/EUR,1,100000,False,False,0.03000000,False,True,False,False,online,,False
9,USDC-GBP,USDC,GBP,0.98,810000,0.001,0.01,USDC/GBP,0.72,600000,False,True,0.01000000,False,False,False,False,online,,False
10,PLA-USD,PLA,USD,0.5,340000,0.0001,0.1,PLA/USD,1,350000,False,False,0.03000000,False,False,False,False,online,,False
11,CRO-USD,CRO,USD,1,3800000,0.0001,0.1,CRO/USD,1,1700000,False,False,0.03000000,False,False,False,False,online,,False
12,UPI-USD,UPI,USD,10,8200000,0.00001,1,UPI/USD,1,100000,False,False,0.03000000,False,False,False,False,online,,False
13,CGLD-BTC,CGLD,BTC,0.16,110000,1E-8,0.01,CGLD/BTC,0.000016,12,False,False,0.03000000,False,False,False,False,online,,False
14,GODS-USD,GODS,USD,0.1,69000,0.01,0.01,GODS/USD,1,220000,False,False,0.03000000,False,False,False,False,online,,False
15,AIOZ-USD,AIOZ,USD,1,1700000,0.0001,0.1,AIOZ/USD,1,250000,False,False,0.03000000,False,False,False,False,online,,False
16,BTRST-BTC,BTRST,BTC,0.17,79000,1E-8,0.01,BTRST/BTC,0.000016,10,False,False,0.03000000,False,False,False,False,online,,False
17,POLS-USD,POLS,USD,0.1,93000,0.01,0.01,POLS/USD,1,100000,False,False,0.03000000,False,False,False,False,online,,False
18,DAI-USD,DAI,USD,0.99,6400000,0.000001,0.00001,DAI/USD,1,6400000,False,True,0.01000000,False,False,False,False,online,,False
19,DIA-USDT,DIA,USDT,0.1,220000,0.01,0.01,DIA/USDT,1,100000,False,False,0.03000000,False,True,False,False,online,,False
20,LQTY-USDT,LQTY,USDT,0.1,28000,0.01,0.01,LQTY/USDT,1,100000,False,False,0.03000000,False,True,False,False,online,,False
21,WLUNA-GBP,WLUNA,GBP,0.02,2600,0.01,0.001,WLUNA/GBP,0.72,160000,False,False,0.03000000,False,False,False,False,online,,False
22,SYN-USD,SYN,USD,0.1,120000,0.001,0.01,SYN/USD,1,250000,False,False,0.03000000,False,True,False,False,online,,False
23,ENJ-USD,ENJ,USD,0.32,510000,0.001,0.01,ENJ/USD,1,1200000,False,False,0.03000000,False,False,False,False,online,,False
24,TRIBE-USD,TRIBE,USD,0.9,200000,0.0001,0.1,TRIBE/USD,1,210000,False,False,0.03000000,False,False,False,False,online,,False
25,ICP-USDT,ICP,USDT,0.021,19000,0.01,0.0001,ICP/USDT,1,530000,False,False,0.03000000,False,False,False,False,online,,False
26,PERP-EUR,PERP,EUR,0.059,23000,0.01,0.001,PERP/EUR,0.84,170000,False,False,0.03000000,False,False,False,False,online,,False
27,REN-USD,REN,USD,1,1300000,0.0001,0.000001,REN/USD,1,540000,False,False,0.03000000,False,False,False,False,online,,False
28,WLUNA-USDT,WLUNA,USDT,0.021,7700,0.01,0.001,WLUNA/USDT,1,620000,False,False,0.03000000,False,False,False,False,online,,False
29,FIDA-USDT,FIDA,USDT,0.1,36000,0.01,0.01,FIDA/USDT,1,100000,False,False,0.03000000,False,False,False,False,online,,False
30,DAI-USDC,DAI,USDC,0.99,1100000,0.000001,0.00001,DAI/USDC,1,1100000,False,True,0.01000000,False,False,False,False,online,,False
31,USDT-GBP,USDT,GBP,0.97,1200000,0.0001,0.01,USDT/GBP,0.72,830000,False,True,0.01000000,False,False,False,False,online,,False
32,KRL-USD,KRL,USD,0.3,190000,0.0001,0.1,KRL/USD,1,200000,False,False,0.03000000,False,False,False,False,online,,False
33,ANKR-BTC,ANKR,BTC,7,3000000,1E-8,1,ANKR/BTC,0.000016,10,False,False,0.03000000,False,False,False,False,online,,False
34,ETH-BTC,ETH,BTC,0.00022,3300,0.00001,0.00000001,ETH/BTC,0.00001,250,False,False,0.03000000,False,False,False,False,online,,False
35,BCH-BTC,BCH,BTC,0.0016,2300,0.000001,0.00000001,BCH/BTC,0.00001,21,False,False,0.03000000,False,False,False,False,online,,False
36,LCX-USDT,LCX,USDT,2.8,1600000,0.0001,0.1,LCX/USDT,1,200000,False,False,0.03000000,False,False,False,False,online,,False
37,RLC-BTC,RLC,BTC,0.22,79000,1E-7,0.01,RLC/BTC,0.000016,10,False,False,0.03000000,False,False,False,False,online,,False
38,WLUNA-USD,WLUNA,USD,0.021,29000,0.01,0.001,WLUNA/USD,1,2300000,False,False,0.03000000,False,False,False,False,online,,False
39,LTC-USD,LTC,USD,0.0043,28000,0.01,0.00000001,LTC/USD,1,3900000,False,False,0.03000000,False,False,False,False,online,,False
40,NMR-EUR,NMR,EUR,0.022,7100,0.01,0.001,NMR/EUR,0.84,170000,False,False,0.03000000,False,False,False,False,online,,False
41,LTC-EUR,LTC,EUR,0.0042,8100,0.01,0.00000001,LTC/EUR,0.84,1000000,False,False,0.03000000,False,False,False,False,online,,False
42,ENJ-USDT,ENJ,USDT,0.1,170000,0.001,0.01,ENJ/USDT,1,250000,False,False,0.03000000,False,False,False,False,online,,False
43,BADGER-EUR,BADGER,EUR,0.031,14000,0.01,0.001,BADGER/EUR,0.84,170000,False,False,0.03000000,False,False,False,False,online,,False
44,FIL-USD,FIL,USD,0.016,62000,0.01,0.001,FIL/USD,1,1800000,False,False,0.03000000,False,False,False,False,online,,False
45,ICP-BTC,ICP,BTC,0.021,17000,1E-7,0.0001,ICP/BTC,0.000016,12,False,False,0.03000000,False,False,False,False,online,,False
46,SUKU-USDT,SUKU,USDT,0.9,460000,0.0001,0.1,SUKU/USDT,1,210000,False,False,0.03000000,False,False,False,False,online,,False
47,ORCA-USD,ORCA,USD,0.1,29000,0.01,0.01,ORCA/USD,1,100000,False,False,0.03000000,False,False,False,False,online,,False
48,ADA-BTC,ADA,BTC,0.5,820000,1E-8,0.01,ADA/BTC,0.000016,27,False,False,0.03000000,False,False,False,False,online,,False
49,RLY-GBP,RLY,GBP,1,660000,0.0001,1,RLY/GBP,0.72,150000,False,False,0.03000000,False,False,False,False,online,,False
50,POWR-EUR,POWR,EUR,1.3,70000,0.0001,0.1,POWR/EUR,0.84,43000,False,False,0.03000000,False,True,False,False,online,,False
51,FARM-USD,FARM,USD,0.006,3100,0.01,0.001,FARM/USD,1,420000,False,False,0.03000000,False,False,False,False,online,,False
52,NKN-GBP,NKN,GBP,1.7,720000,0.0001,0.1,NKN/GBP,0.72,150000,False,False,0.03000000,False,False,False,False,online,,False
53,1INCH-EUR,1INCH,EUR,0.22,88000,0.001,0.01,1INCH/EUR,0.84,170000,False,False,0.03000000,False,False,False,False,online,,False
54,DESO-USD,DESO,USD,0.01,2800,0.01,0.001,DESO/USD,1,100000,False,False,0.03000000,False,True,False,False,online,,False
55,AXS-EUR,AXS,EUR,0.006,5400,0.01,0.001,AXS/EUR,0.84,350000,False,False,0.03000000,False,False,False,False,online,,False
56,UNI-USD,UNI,USD,0.041,130000,0.01,0.000001,UNI/USD,1,2000000,False,False,0.03000000,False,False,False,False,online,,False
57,SHIB-USDT,SHIB,USDT,18000,62000000000,1E-7,1,SHIB/USDT,1,1800000,False,False,0.03000000,False,False,False,False,online,,False
58,CLV-USD,CLV,USD,0.78,550000,0.0001,0.01,CLV/USD,1,320000,False,False,0.03000000,False,False,False,False,online,,False
59,AGLD-USD,AGLD,USD,0.36,200000,0.001,0.01,AGLD/USD,1,260000,False,False,0.03000000,False,False,False,False,online,,False
60,AERGO-USD,AERGO,USD,1,1500000,0.0001,0.1,AERGO/USD,1,250000,False,False,0.03000000,False,False,False,False,online,,False
61,FORTH-EUR,FORTH,EUR,0.061,27000,0.01,0.001,FORTH/EUR,0.84,170000,False,False,0.03000000,False,False,False,False,online,,False
62,STORJ-BTC,STORJ,BTC,0.57,190000,1E-8,0.01,STORJ/BTC,0.000016,10,False,False,0.03000000,False,False,False,False,online,,False
63,MASK-GBP,MASK,GBP,0.07,23000,0.001,0.01,MASK/GBP,0.72,150000,False,False,0.03000000,False,False,False,False,online,,False
64,AVAX-EUR,AVAX,EUR,0.01,9700,0.01,0.001,AVAX/EUR,0.84,740000,False,False,0.03000000,False,False,False,False,online,,False
65,BCH-USD,BCH,USD,0.0016,6600,0.01,0.00000001,BCH/USD,1,2500000,False,False,0.03000000,False,False,False,False,online,,False
66,EOS-BTC,EOS,BTC,0.2,160000,1E-8,0.1,EOS/BTC,0.000016,11,False,False,0.03000000,False,False,False,False,online,,False
67,CHZ-USD,CHZ,USD,2,2600000,0.0001,0.1,CHZ/USD,1,650000,False,False,0.03000000,False,False,False,False,online,,False
68,BAT-BTC,BAT,BTC,0.92,320000,1E-8,0.01,BAT/BTC,0.000016,10,False,False,0.03000000,False,False,False,False,online,,False
69,ZEN-BTC,ZEN,BTC,0.01,1300,1E-7,0.001,ZEN/BTC,0.000016,2,False,False,0.03000000,False,False,False,False,online,,False
70,ENJ-BTC,ENJ,BTC,0.32,190000,1E-8,0.01,ENJ/BTC,0.000016,11,False,False,0.03000000,False,False,False,False,online,,False
71,ETC-GBP,ETC,GBP,0.018,7600,0.01,0.00000001,ETC/GBP,0.72,180000,False,False,0.03000000,False,False,False,False,online,"Our ETC order books are now in full-trading mode. Limit, market and stop orders are all now available.",False
72,TRU-EUR,TRU,EUR,1.7,740000,0.0001,0.1,TRU/EUR,0.84,170000,False,False,0.03000000,False,False,False,False,online,,False
73,GLM-USD,GLM,USD,1,680000,0.0001,0.1,GLM/USD,1,250000,False,False,0.03000000,False,True,False,False,online,,False
74,RNDR-EUR,RNDR,EUR,0.1,110000,0.01,0.01,RNDR/EUR,1,100000,False,False,0.03000000,False,True,False,False,online,,False
75,SOL-EUR,SOL,EUR,0.004,11000,0.01,0.001,SOL/EUR,0.84,1300000,False,False,0.03000000,False,False,False,False,online,,False
76,UST-USDT,UST,USDT,0.99,880000,0.001,0.01,UST/USDT,1,880000,False,True,0.01000000,False,False,False,False,online,,False
77,QSP-USDT,QSP,USDT,10,11000000,0.00001,1,QSP/USDT,1,100000,False,False,0.03000000,False,False,False,False,online,,False
78,AMP-USD,AMP,USD,17,25000000,0.00001,1,AMP/USD,1,970000,False,False,0.03000000,False,False,False,False,online,,False
79,AVAX-USD,AVAX,USD,0.011,52000,0.01,0.001,AVAX/USD,1,4500000,False,False,0.03000000,False,False,False,False,online,,False
